ndvi,lulc,temperature,population,carbon_factor,carbon
0.37858784,10,32.75270270270272,0.4219546832630961,120,116.49515908041539
0.37246963,30,31.576000000000022,0.39817822107326606,15,12.607197895822402
0.46300277,10,31.576000000000022,0.3856820380967834,120,120.38567333648932
0.4232328,20,31.902307692307716,0.37509977742412454,40,38.91917698134162
0.3124178,40,32.8655555555556,0.9266413747275528,10,1.8737718667126266
0.30316117,40,32.418648648648684,0.8863486655644534,10,2.244443192081026
0.38303694,40,32.53270270270275,1.1562659386080871,10,3.177075461019042
0.38117585,40,31.959714285714313,0.9508628286935422,10,4.721246641707998
0.16655244,30,34.55631578947373,1.2755610864047704,15,0.0
0.3423896,40,34.43324324324328,1.2552390449913673,10,0.0
0.36341032,40,33.15756756756758,1.0542226827790033,10,2.473628539744296
0.40708613,40,32.58675675675681,1.0222152583317112,10,4.514750925016148
0.3671466,40,32.520810810810815,1.0309029709889304,10,3.339072824936351
0.3352499,40,33.96189189189192,1.0105862945395487,10,1.0426733045212586
0.3387786,30,32.51864864864865,1.4131804363153533,15,5.5788065429038385
0.35675505,40,33.59270270270275,1.2349634719896474,10,0.9351313136444706
0.29913822,40,32.85162162162169,1.0632300814315383,10,0.8063742163646683
0.29948953,40,32.31421052631583,1.0332340120940808,10,1.5043051737786852
0.32176602,40,32.11944444444447,1.1117591503682218,10,1.974740082952409
0.3530281,10,31.89894736842109,1.2452287638128388,120,112.46575107830913
0.3601276,10,31.87756756756761,1.3041614850897443,120,112.40545305110193
0.27817297,40,31.87756756756761,1.2169546568012062,10,0.38284785289595824
0.35961303,40,32.30405405405412,1.86486505888181,10,0.0
0.32092783,40,32.30405405405412,1.8290721241259797,10,0.0
0.3679086,40,32.61432432432434,1.012019833733944,10,3.3628341407809987
0.38460398,40,32.48081081081085,1.0227750455371507,10,3.9434332352143286
0.3694099,40,32.37947368421055,1.0402470714899092,10,3.5015874741151283
0.2960131,40,32.57162162162166,1.0240229864148553,10,1.188655625985863
0.362748,40,32.88157894736844,0.7937535643470788,10,4.032093177056073
0.3031176,30,32.8472972972973,0.4972907909514913,15,8.759777173930916
0.28493366,30,32.64263157894737,0.44538528314757514,15,8.678451641786527
0.43181637,30,31.80435897435899,0.43587314846468966,15,13.970766423973512
0.37271884,30,31.80435897435899,0.40857647308997347,15,12.334323476600357
0.31182054,30,32.581578947368484,0.35280854021051883,15,10.008994088916383
0.34355628,30,32.581578947368484,0.3524143886255939,15,10.963037861652333
0.28811622,10,32.73473684210529,1.009464959267774,120,110.86142514122795
0.35256818,40,33.3677777777778,0.8942238204557144,10,2.7381484531116618
0.4273914,40,31.93810810810811,1.197053834211709,10,4.898364638164888
0.38962433,10,32.69540540540544,0.8884973514828765,120,114.550837552874
0.21924335,30,34.897027027027036,1.296125830177334,15,0.19964436025923238
0.5002159,40,32.86842105263162,1.0975945580882516,10,6.650082198019792
0.41267788,40,32.35631578947374,1.0844432200175593,10,4.601804739805877
0.4697766,40,32.35631578947374,1.0382994374617827,10,6.545485032705676
0.31339675,40,32.81432432432439,1.0676125901589495,10,1.2495148909404348
0.23184684,40,33.979473684210575,1.034164510822638,10,0.0
0.41154498,20,31.472162162162192,1.4010662098128484,40,33.86885584392093
0.23342727,30,33.178648648648675,1.1128640009812638,15,3.2598494648658676
0.22603695,30,33.55972972972978,1.099913842504087,15,2.7218094849373413
0.38033396,40,32.81162162162167,1.3313346157705326,10,1.9417238011101965
0.35151067,40,32.451621621621655,1.0986132423419714,10,2.6006327364379427
0.39128047,40,31.995789473684226,1.2767177166123587,10,3.359036320738036
0.33370242,40,31.824736842105324,1.367288037535532,10,1.3498949970888523
0.40925726,40,31.737027027027068,1.3954428261863037,10,3.563476902893779
0.31700322,40,31.794864864864905,1.8769265417902368,10,0.0
0.30334854,40,32.898648648648646,1.66282881019091,10,0.0
0.34985048,40,32.53947368421058,1.0448863936385657,10,2.7316090450613544
0.3376871,40,32.62135135135139,1.0696179837229758,10,2.161171564109906
0.24803151,30,32.84263157894742,0.8430517002373904,15,5.3830554513541955
0.29357576,30,33.018947368421095,0.6092711053136003,15,7.741969811266015
0.26188314,40,32.88947368421054,0.6436499045326357,10,1.7487706689542186
0.33982906,20,32.28076923076924,0.4881321820172647,40,35.47344135832211
0.4081014,30,31.79849999999999,0.367466472963624,15,13.607209988181399
0.3601036,40,32.70459459459465,1.1296128029813497,10,2.4504493249471926
0.2876614,30,33.03052631578947,0.9466277905377636,15,5.866177214807743
0.43863285,20,33.05864864864867,0.8670585611978732,40,35.7650440059906
0.38234004,10,33.248918918918946,0.9172567663485236,120,113.63499823699256
0.4169404,40,31.93810810810811,1.1643418355205228,10,4.748394500312848
0.3743112,40,31.93810810810811,1.059878619161949,10,3.991835246852773
0.33333334,30,32.43270270270273,0.9032658203101555,15,8.050968195746496
0.3516098,40,33.23810810810812,1.2745508274111055,10,0.937432088445326
0.3735016,40,33.23810810810812,1.1540007555683789,10,2.196936082156798
0.28310215,40,33.798947368421125,0.8222102596510723,10,0.5830655287651112
0.21455383,30,34.51324324324327,1.2278527889095028,15,0.7841075851418626
0.22770561,30,34.897027027027036,1.1988979889852085,15,0.9396514928372408
0.44490454,40,33.97052631578947,1.1337415354973226,10,3.7079017694133745
0.39327568,20,33.44351351351355,0.8471574730799715,40,34.11896952142024
0.42887074,10,31.534864864864915,0.8168765688137893,120,117.24687411157412
0.43320754,10,31.988333333333344,1.1337909480784203,120,115.33893853043169
0.46306068,10,31.988333333333344,1.2388173288121087,120,115.70940063906548
0.4026906,40,31.737027027027068,1.522327833951657,10,2.7320515665897913
0.3855353,40,32.53947368421058,1.0704660434432505,10,3.674255496968076
0.4130967,40,32.5862162162162,1.0691790949289868,10,4.460789520049708
